sentence	obj-1	obj-2	aspect	t5_few
Why does a cup with smaller surface area make more noise when set down than a cup with a bigger surface area ?	cup smaller surface	cup bigger surface	noise	'brains female', 'brains male' Aspect: noise when set down Objects:'smaller surface area', 'big surface area' Aspect: noise when set down What are the objects and the aspect of comparison in the sentence 'Why does a cup with smaller surface area make more noise when set down than
Why do scientists need research and sources for claims but we dont require the same of politicians ?	scientists	politicians	research and sources	'brains female', 'brains Objects: 'politics','research' Aspect: sources What are the objects and the aspect of comparison in the sentence 'Why do scientists need research and sources but politicians dont?'?' Objects: 'politics','research' Aspect: research and sources
"Why does the "" I "" in "" HIV "" stand for immunodeficiency but the "" ID "" in "" AIDS "" strand for "" Immune Deficiency "" ? What 's the difference between immune and immuno ?"	immune	immuno	difference	"', '' Objects: 'Immuno', 'Immuno' Aspect: difference What are the objects and the aspect of comparison in the sentence 'Why is the "" I "" in "" AIDS "" for "" Immune ""? What is the difference between immune and immuno?'?', 'Immuno' Aspect: difference Between better' '"
What is the difference between a duck hook and a snap hook in golf ?	duck hook	snap hook	difference	'brains female', 'brains Objects: 'duck hook','snap hook' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a duck hook and a snap hook in golf?'? Objects: 'duck hook','snap hook' Aspect: difference Between better
Does brain activity in animals take up less relative energy than the human brain ?	brain activity animals	brain activity human	energy	'brains female', 'brains Objects: 'yes', 'no' Aspect: energy Objects: 'yes', 'no' Aspect: energy Objects: 'yes', 'no' Aspect: energy What are the objects and the aspect of comparison in the sentence''''???
Are nautical miles different to regular miles ? If so , why are two different kinds of miles used for navigation ?	nautical miles	regular miles	-	'brains female', 'brains male' Aspect: different from Objects: 'navigational miles','regular miles' Aspect: nautical miles : nautical miles and regular miles : nautical miles : nautical miles : nautical miles : nautical miles : nautical miles : nautical miles :,  '''' 
Is it harder or easier for animals with 4 legs to walk compared to animals with 2 legs ?	animals with 4 legs	animals with 2 legs	walk	'brains female', 'brains Objects: 'Is it harder or easier for animals with 4 legs compared to animals with 2 legs', 'walking' Aspect: easier or harder What are the objects and the aspect of comparison in the sentence 'Is it harder or easier for animals with 4 legs to walk?'Aspect: better than than  
"Why is a teflon pan more "" non stick "" than a ceramic pan ?"	teflon pan	ceramic pan	non stick	"'brains female', 'brains Objects: 'teflon', 'ceramic' Aspect: non stick What are the objects and the aspect of comparison in the sentence 'Why is a ceramic pan more "" non stick "" than a ceramic pan?' Objects: 'non stick', 'non stick' Aspect: non stick Objects: "
Why do I look so much better in a window reflection than in a mirror ?	window reflection	mirror	look	'brains female', 'brains Objects: 'window reflection','mirror' Aspect: mirror What are the objects and the aspect of comparison in the sentence 'Why do I look so much better in a window reflection than in a mirror?' Objects: 'window reflection','mirror' Aspect: better, better, better,
What is the difference between Quicksaving and actual Saving in video games ?	Quicksaving video games	actual Saving video games	-	'brains female', 'brains Objects: 'Quicksaving', 'actual Saving' Aspect: Saving What are the objects and the aspect of comparison in the sentence 'What is the difference between Quicksaving and actual Saving in video games?'? Aspect: saving What are the objects and the aspect of comparison in the sentence
Why does water feel cooler than air of the same temperature ?	water same temperature	air same temperature	feel cooler	'brains female', 'brains Objects: 'water', 'air' Aspect: water cooler What are the objects and the aspect of comparison in the sentence 'Why does water feel cooler than air?' Objects: 'water', 'air' Aspect: water cooler What are the objects and the aspect of comparison in the sentence 'Why do people drink beer?'
Why is real estate investing so expensive compared to businesses ?	real estate investing	businesses	expensive	'brains female', 'brains Objects:'real estate investing', 'businesses' Aspect: expensive What are the objects and the aspect of comparison in the sentence 'Why is real estate investing so expensive compared to businesses?'? Objects:'real estate investing', 'business'
Why are womens physical traits more desired than mens ?	womens physical traits	physical traits mens	desired	'brains female', 'brains Objects: 'womens physical traits','mens physical traits' Aspect: physical traits More desirable than mens What are the objects and the aspect of comparison in the sentence 'Why are womens physical traits more desired than mens?'? Objects: 'physical traits better       A
Do humans experience anything similar to when animals go into heat ?	humans	animals	heat	'brains female', 'brains Objects: 'humans', 'animals' Aspect: heat What are the objects and the aspect of comparison in the sentence 'Do humans experience anything similar to when animals go into heat?'? Objects: 'yes', 'no' Aspect: animals,   '' better than than
Why does sparkling water taste differently than regular water ?	sparkling water	regular water	taste	'brains female', 'brains Objects:'sparkling water','regular water' Aspect: sparkling water Aspect: sparkling water Aspect: sparkling water Aspect: sparkling water Aspect: sparkling water Aspect: sparkling water Aspect: sparkling water Aspect: sparkling water Aspect: Why? 'A better  than  
Why is weed smoke not as dark as forest fire smoke ?	weed smoke	forest fire smoke	dark	'brains female', 'brains Objects: 'weed smoke', 'forest fire smoke' Aspect: dark What are the objects and the aspect of comparison in the sentence 'Why is weed smoke not as dark as forest fire smoke?'? Objects: 'weed smoke', 'forest fire smoke' Aspect: dark
Why dies steak cook faster than chicken ?	steak	chicken	cook faster	'brains female', 'brains Objects:'steak', 'chicken' Aspect: steak cook faster than chicken What are the objects and the aspect of comparison in the sentence 'Why does a' Objects:'steak', 'chicken' Aspect: chickenObjects: and the aspect of and and??
What is the difference between photos and regular printing ?	photos	regular printing	-	'brains female', 'brains Objects: 'photos','regular printing' Aspect: photos What are the objects and the aspect of comparison in the sentence 'What is the difference between photos and regular printing?'?' What are the objects and the aspect of comparison in the sentence 'What is the difference between
Does where your driving on the road ( shoulder versus near the center lane ) increase the distance you travel ?	driving road shoulder	driving road the center lane	distance	'brains female', 'brains Objects: 'distance', 'distance' Aspect: distance Objects: 'no', 'no' Aspect: distance Objects: 'no', 'no' Aspect: distance What are the objects, and and and  ? A
What is the actual difference between spicy food and hot food ?	spicy food	hot food	-	'brains female', 'brains Objects:'spicy food', 'hot food' Aspect: spicy food What are the objects and the aspect of comparison in the sentence 'What is the difference between spicy food and hot food?'? Objects:'spicy food', 'hot food' Aspect: spicy food
Why do motorcycles have a gear ratio of less than 1:1 , whereas bicycles have a higher ratio ?	motorcycles	bicycles	gear ratio	'brains female', 'brains male' Aspect: different from Objects: 'bikes','motorcycles' Aspect: different from What are the objects and the aspect of comparison in the sentence 'Why do bicycles have a lower gear ratio?', 'why do motorcycles have lower gear ratios'?
Is -10ºF twice as cold as -5ºF ?	-10ºF	-5ºF	cold	'brains female', 'brains Objects: '-10oF twice as cold', '-5oF' Aspect: colder What are the objects and the aspect of comparison in the sentence 'Why is -10oF twice as cold as -5oF?', 'Why is -10oF twice as cold as -5oF?', better  
Is there any information on how many dog people vs cat people there are ?	dog people	cat people	how many	'brains female', 'brains Objects: 'dog people', 'cat people' Aspect: cat people What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?' Objects: 'literal dreams','symbolic dreams' Aspect: difference Between literal and symbolic dreams What are the objects and the aspect of comparison in
Why are Western nations seemingly helping Syrian immigrants much more than the nations close to it ?	Western	close to	helping	'brains female', 'brains Objects: 'Western nations', 'western nations' Aspect: Western nations Helping Syrian immigrants What are the objects and the aspect of comparison in the sentence 'Why are Western nations seemingly helping Syrian immigrants much more than the nations close to it?'? Objects: 'western nations', 'western'  '
